"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
2.03000e+3	3.37678e+13
2.04000e+3	3.38180e+13
2.05000e+3	3.38677e+13
2.06000e+3	3.39169e+13
2.07000e+3	3.39655e+13
2.08000e+3	3.40137e+13
2.09000e+3	3.40614e+13
2.10000e+3	3.41086e+13
2.11000e+3	3.41553e+13
2.12000e+3	3.42015e+13
2.13000e+3	3.42472e+13
2.14000e+3	3.42924e+13
2.15000e+3	3.43371e+13
2.16000e+3	3.43814e+13
2.17000e+3	3.44252e+13
2.18000e+3	3.44685e+13
2.19000e+3	3.45114e+13
2.20000e+3	3.45538e+13
2.21000e+3	3.45957e+13
2.22000e+3	3.46372e+13
2.23000e+3	3.46782e+13
2.24000e+3	3.47188e+13
2.25000e+3	3.47589e+13
2.26000e+3	3.47986e+13
2.27000e+3	3.48378e+13
2.28000e+3	3.48766e+13
2.29000e+3	3.49150e+13
2.30000e+3	3.49529e+13
2.31000e+3	3.49904e+13
2.32000e+3	3.50275e+13
2.33000e+3	3.50641e+13
2.34000e+3	3.51003e+13
2.35000e+3	3.51361e+13
2.36000e+3	3.51715e+13
2.37000e+3	3.52065e+13
2.38000e+3	3.52411e+13
2.39000e+3	3.52753e+13
2.40000e+3	3.53090e+13
2.41000e+3	3.53424e+13
2.42000e+3	3.53753e+13
2.43000e+3	3.54079e+13
2.44000e+3	3.54401e+13
2.45000e+3	3.54719e+13
2.46000e+3	3.55032e+13
2.47000e+3	3.55343e+13
2.48000e+3	3.55649e+13
2.49000e+3	3.55951e+13
2.50000e+3	3.56250e+13
2.51000e+3	3.56545e+13
2.52000e+3	3.56836e+13
2.53000e+3	3.57124e+13
2.54000e+3	3.57408e+13
2.55000e+3	3.57688e+13
2.56000e+3	3.57964e+13
2.57000e+3	3.58237e+13
2.58000e+3	3.58507e+13
2.59000e+3	3.58773e+13
2.60000e+3	3.59035e+13
2.61000e+3	3.59294e+13
2.62000e+3	3.59549e+13
2.63000e+3	3.59801e+13
2.64000e+3	3.60049e+13
2.65000e+3	3.60294e+13
2.66000e+3	3.60536e+13
2.67000e+3	3.60774e+13
2.68000e+3	3.61009e+13
2.69000e+3	3.61241e+13
2.70000e+3	3.61469e+13
2.71000e+3	3.61695e+13
2.72000e+3	3.61916e+13
2.73000e+3	3.62135e+13
2.74000e+3	3.62350e+13
2.75000e+3	3.62563e+13
2.76000e+3	3.62772e+13
2.77000e+3	3.62978e+13
2.78000e+3	3.63180e+13
2.79000e+3	3.63380e+13
2.80000e+3	3.63577e+13
2.81000e+3	3.63770e+13
2.82000e+3	3.63961e+13
2.83000e+3	3.64148e+13
2.84000e+3	3.64333e+13
2.85000e+3	3.64514e+13
2.86000e+3	3.64693e+13
2.87000e+3	3.64868e+13
2.88000e+3	3.65041e+13
2.89000e+3	3.65211e+13
2.90000e+3	3.65378e+13
2.91000e+3	3.65542e+13
2.92000e+3	3.65703e+13
2.93000e+3	3.65861e+13
2.94000e+3	3.66017e+13
2.95000e+3	3.66170e+13
2.96000e+3	3.66320e+13
2.97000e+3	3.66467e+13
2.98000e+3	3.66611e+13
2.99000e+3	3.66753e+13
3.00000e+3	3.66892e+13
3.01000e+3	3.67029e+13
3.02000e+3	3.67163e+13
3.03000e+3	3.67294e+13
3.04000e+3	3.67422e+13
3.05000e+3	3.67548e+13
3.06000e+3	3.67671e+13
3.07000e+3	3.67792e+13
3.08000e+3	3.67910e+13
3.09000e+3	3.68026e+13
3.10000e+3	3.68139e+13
3.11000e+3	3.68250e+13
3.12000e+3	3.68358e+13
3.13000e+3	3.68464e+13
3.14000e+3	3.68567e+13
3.15000e+3	3.68668e+13
3.16000e+3	3.68766e+13
3.17000e+3	3.68862e+13
3.18000e+3	3.68956e+13
3.19000e+3	3.69047e+13
3.20000e+3	3.69136e+13
3.21000e+3	3.69222e+13
3.22000e+3	3.69306e+13
3.23000e+3	3.69388e+13
3.24000e+3	3.69468e+13
3.25000e+3	3.69545e+13
3.26000e+3	3.69620e+13
3.27000e+3	3.69693e+13
3.28000e+3	3.69763e+13
3.29000e+3	3.69832e+13
3.30000e+3	3.69898e+13
3.31000e+3	3.69962e+13
3.32000e+3	3.70023e+13
3.33000e+3	3.70083e+13
3.34000e+3	3.70140e+13
3.35000e+3	3.70196e+13
3.36000e+3	3.70249e+13
3.37000e+3	3.70300e+13
3.38000e+3	3.70349e+13
3.39000e+3	3.70396e+13
3.40000e+3	3.70441e+13
3.41000e+3	3.70483e+13
3.42000e+3	3.70524e+13
3.43000e+3	3.70563e+13
3.44000e+3	3.70600e+13
3.45000e+3	3.70634e+13
3.46000e+3	3.70667e+13
3.47000e+3	3.70698e+13
3.48000e+3	3.70727e+13
3.49000e+3	3.70753e+13
3.50000e+3	3.70778e+13
3.51000e+3	3.70801e+13
3.52000e+3	3.70822e+13
3.53000e+3	3.70842e+13
3.54000e+3	3.70859e+13
3.55000e+3	3.70875e+13
3.56000e+3	3.70888e+13
3.57000e+3	3.70900e+13
3.58000e+3	3.70910e+13
3.59000e+3	3.70918e+13
3.60000e+3	3.70924e+13
3.61000e+3	3.70929e+13
3.62000e+3	3.70932e+13
3.63000e+3	3.70933e+13
3.64000e+3	3.70932e+13
3.65000e+3	3.70929e+13
3.66000e+3	3.70925e+13
3.67000e+3	3.70919e+13
3.68000e+3	3.70911e+13
3.69000e+3	3.70902e+13
3.70000e+3	3.70891e+13
3.71000e+3	3.70878e+13
3.72000e+3	3.70864e+13
3.73000e+3	3.70848e+13
3.74000e+3	3.70830e+13
3.75000e+3	3.70810e+13
3.76000e+3	3.70789e+13
3.77000e+3	3.70767e+13
3.78000e+3	3.70743e+13
3.79000e+3	3.70717e+13
3.80000e+3	3.70690e+13
3.81000e+3	3.70661e+13
3.82000e+3	3.70630e+13
3.83000e+3	3.70598e+13
3.84000e+3	3.70564e+13
3.85000e+3	3.70529e+13
3.86000e+3	3.70493e+13
3.87000e+3	3.70455e+13
3.88000e+3	3.70415e+13
3.89000e+3	3.70374e+13
3.90000e+3	3.70331e+13
3.91000e+3	3.70287e+13
3.92000e+3	3.70242e+13
3.93000e+3	3.70195e+13
3.94000e+3	3.70146e+13
3.95000e+3	3.70096e+13
3.96000e+3	3.70045e+13
3.97000e+3	3.69992e+13
3.98000e+3	3.69938e+13
3.99000e+3	3.69883e+13
4.00000e+3	3.69826e+13
4.01000e+3	3.69768e+13
4.02000e+3	3.69708e+13
4.03000e+3	3.69647e+13
4.04000e+3	3.69585e+13
4.05000e+3	3.69522e+13
4.06000e+3	3.69457e+13
4.07000e+3	3.69390e+13
4.08000e+3	3.69323e+13
4.09000e+3	3.69254e+13
4.10000e+3	3.69184e+13
4.11000e+3	3.69112e+13
4.12000e+3	3.69040e+13
4.13000e+3	3.68966e+13
4.14000e+3	3.68890e+13
4.15000e+3	3.68814e+13
4.16000e+3	3.68736e+13
4.17000e+3	3.68657e+13
4.18000e+3	3.68577e+13
4.19000e+3	3.68496e+13
4.20000e+3	3.68413e+13
4.21000e+3	3.68329e+13
4.22000e+3	3.68244e+13
4.23000e+3	3.68158e+13
4.24000e+3	3.68071e+13
4.25000e+3	3.67982e+13
4.26000e+3	3.67893e+13
4.27000e+3	3.67802e+13
4.28000e+3	3.67710e+13
4.29000e+3	3.67617e+13
4.30000e+3	3.67523e+13
4.31000e+3	3.67427e+13
4.32000e+3	3.67331e+13
4.33000e+3	3.67233e+13
4.34000e+3	3.67135e+13
4.35000e+3	3.67035e+13
4.36000e+3	3.66934e+13
4.37000e+3	3.66832e+13
4.38000e+3	3.66729e+13
4.39000e+3	3.66625e+13
4.40000e+3	3.66520e+13
4.41000e+3	3.66414e+13
4.42000e+3	3.66307e+13
4.43000e+3	3.66199e+13
4.44000e+3	3.66090e+13
4.45000e+3	3.65979e+13
4.46000e+3	3.65868e+13
4.47000e+3	3.65756e+13
4.48000e+3	3.65643e+13
4.49000e+3	3.65529e+13
4.50000e+3	3.65413e+13
4.51000e+3	3.65297e+13
4.52000e+3	3.65180e+13
4.53000e+3	3.65062e+13
4.54000e+3	3.64943e+13
4.55000e+3	3.64823e+13
4.56000e+3	3.64702e+13
4.57000e+3	3.64580e+13
4.58000e+3	3.64457e+13
4.59000e+3	3.64333e+13
4.60000e+3	3.64209e+13
4.61000e+3	3.64083e+13
4.62000e+3	3.63957e+13
4.63000e+3	3.63829e+13
4.64000e+3	3.63701e+13
4.65000e+3	3.63572e+13
4.66000e+3	3.63442e+13
4.67000e+3	3.63311e+13
4.68000e+3	3.63179e+13
4.69000e+3	3.63047e+13
4.70000e+3	3.62913e+13
4.71000e+3	3.62779e+13
4.72000e+3	3.62644e+13
4.73000e+3	3.62508e+13
4.74000e+3	3.62371e+13
4.75000e+3	3.62233e+13
4.76000e+3	3.62095e+13
4.77000e+3	3.61955e+13
4.78000e+3	3.61815e+13
4.79000e+3	3.61674e+13
4.80000e+3	3.61533e+13
4.81000e+3	3.61390e+13
4.82000e+3	3.61247e+13
4.83000e+3	3.61103e+13
4.84000e+3	3.60958e+13
4.85000e+3	3.60813e+13
4.86000e+3	3.60666e+13
4.87000e+3	3.60519e+13
4.88000e+3	3.60371e+13
4.89000e+3	3.60223e+13
4.90000e+3	3.60073e+13
4.91000e+3	3.59923e+13
4.92000e+3	3.59772e+13
4.93000e+3	3.59621e+13
4.94000e+3	3.59469e+13
4.95000e+3	3.59316e+13
4.96000e+3	3.59162e+13
4.97000e+3	3.59007e+13
4.98000e+3	3.58852e+13
4.99000e+3	3.58697e+13
5.00000e+3	3.58540e+13
